The woman gave birth to a child. The child brought psycho-physical phenomena on a new life.,Birth is the arising of the psycho-physical phenomena.,Psycho-psychology is the study of the effects of the mind on the body.
Otters enter their new habitat. Otters start looking for abalone for food.,Abalone are one of the first food items taken by otters as they move into new habitat.,Abalone are the most abundant of all the sea urchins on the east coast of the United States.
Lila loves classification of her things. Lila can find what she wants quickly.,Classifications yield accuracy.,Classification is the process of finding things.
She has been vaccined. The chance she gets flu becomes smaller.,Vaccines protect individuals.,Vaccines reduce the chances of getting the virus from one person to another.
The worker fremented some sugar cane with yeast. He got some rum.,Rum is made from sugar cane using yeast fermentation.,Rim is a type of sugar cane.
Grande opened the drawers. He saw his old clothing.,Drawers have clothing.,Ceremonies are used as evidence.
He wants to travel the Sahara desert. He will not withstand the dry climate there.,Deserts are arid environments.,Deserts are one of the most inhospitable places on earth because of the amount of carbon dioxide in.
Black pulled out his eyelashes for beauty. Black's sweat always drips into his eyes.,Eyelashes keep sweat out of the eye.,Lips have a tendency to dry out when they are exposed to the sun.
There are many obstacles on the track. Racing drivers will encounter common dangers from time to time.,Obstacles present common danger.,Riders face many obstacles.
The bar wants to devise some tests. The bar asks a businessman for help.,Businessmen devise tests.,Businesses use tests.
Lily has taken some sulfonamedes to make hemolysis. The medicine didn't work.,Sulfonamides cause hemolysis less commonly.,Hemolysis is the process of breaking down a substance called sulfonamides.
No energy is available for the dying plant anymore. It cannot produce oxygen.,Production requires energy.,Alkalinity is a measure of the amount of carbon dioxide in the atmosphere.
Tom has good eyesight. Tom found the poisonous snake in time.,Eyesights play roles.,Poisonous snakes are extremely difficult to detect because of their large size.
Tom wants to know more about production. Tom set out to go to the dense regions.,Production occurs in dense regions.,Densities are dense regions in the atmosphere.
The zoologist made an observation of the jaguar's habits. He observed tracks on the ground where the jaguar had moved its all tour legs.,Jaguars use all tour legs to move across the ground.,Jaguars use their all-tour legs to move their entire body in a way similar to a human.
Lucy has established a community to help those homeless children. Many of her friends join in the warm-hearted family.,Friends join communities.,Homelessness is defined as the feeling of being alone in a group of people who are unable to cope with.
The abuse of nuclear power is terrifying. Scientists avoid great impact of atoms.,Collisions result in nuclear reaction.,Batteries are the most powerful source of energy in the universe.
"Mr. Howard was going to hiking who had a big bag on his back. As he walked, he felt much heavier than before.",Matter produces gravity.,Bags have weight.
He observed the process from germination of seeds to eventually maturation of plants. He obserevd the growth of the embryo inside the seed at first.,Germination is the growth of the embryo inside the seed eventually growing into a mature plant.,Germination is the process by which a fertilized egg is released from the mother's womb into the environment.
"The financial crisis left many people homeless. After the financial crisis, the suicide rate increased significantly.",Homelessness greatly increases the likelihood of a suicide attempt.,Suicide is a leading cause of death among young adults in the United States.
The two competitors became friends of reciprocity. They often exchange their own privileges.,Reciprocity is a mutual exchange of privileges.,Reciprocity is the mutual recognition of one's own rights as a human being by another.
Mary read some papers. She knew lots of details.,Paper gives details.,Documents are documents.
Sam wished to eat stew for supper. Sam's wife went to buy some meat.,Stew makes with meat.,Stew is made of meat.
It's half way through autumn. It rains more in half autumn than in spring and summer combined.,Autumn is the season when rain is likely to fall.,Summer is the warmest period of the year during the winter months.
The major planets interact. There is gravity among the planets.,Gravitation involves interaction.,Gravity is the relationship between the mass of the stars in the system.
Tom has a civet. The civet eats the fish quickly.,Civets have sharp teeth.,Civets eat prey.
Alice likes the smell of milk. She always eats cakes with a lot of cream.,Cream has taste.,Cakes have a cream-like texture.
Jack wanted to know why Quasars drown out the light from all the other stars in the same galaxy. He looked it up and found out that it was because they were so bright.,Quasars drown out the light from all the other stars in the same galaxy because they are so bright.,Quasars are one of the few light-emitting diodes in the sky.
Simon's mother often let Simon eat soys. Simon grows healthy.,Soy offers health benefits.,Necks are a natural part of the diet of many plants.
A factory produces several tons of tissues from straws. The quality of these tissues is different.,Straw is a nonhomogeneous material.,Straws contain a variety of proteins known as proteoglycanases.
Jack added nitrites into the water. The catfish died earlier than the scalefish in the water.,Nitrites are more toxic to catfish than scalefish.,Nitrites are a common cause of death in scalefishes.
His action led to the movement of the wheels. The machine was set in motion.,Movement results in motion.,Wheelwheels are a type of machine used to move objects.
Jack's interest is to study human species. He decides to choose anthropology as his major in college.,Anthropology is the discipline devoted to the study of the human species.,Archaeology is the study of the human species as a whole.
Father of our religion combined a union of opposite tenets. His action of syncretism was praised.,Syncretism is the attempted union of opposite tenets is the current fashion in religion.,Synaptism is the union of the opposite tenets of one faith.
