cause,effect,explanation
The woman gave birth to a child.,The child brought psycho-physical phenomena on a new life.,Psychosomatic phenomena are physical phenomena brought on by the birth of a new human being.
Otters enter their new habitat.,Otters start looking for abalone for food.,Abalone is one of the most abundant marine invertebrates on the planet.
Lila loves classification of her things.,Lila can find what she wants quickly.,Classification is the process of getting something from one class to another.
She has been vaccined.,The chance she gets flu becomes smaller.,Vaccines reduce the chances of getting the disease.
The worker fremented some sugar cane with yeast.,He got some rum.,Rums contain sugar cane.
Grande opened the drawers.,He saw his old clothing.,Retailers have closets.
He wants to travel the Sahara desert.,He will not withstand the dry climate there.,Deserts are temperate zones of temperate climates.
Black pulled out his eyelashes for beauty.,Black's sweat always drips into his eyes.,Eyelashes are the most sensitive of the eyelashes.
There are many obstacles on the track.,Racing drivers will encounter common dangers from time to time.,Traffic is one of the leading causes of death in the United States.
The bar wants to devise some tests.,The bar asks a businessman for help.,Businessmen provide assistance.
Lily has taken some sulfonamedes to make hemolysis.,The medicine didn't work.,Sulfonamides are toxic to the body.
No energy is available for the dying plant anymore.,It cannot produce oxygen.,Oxygen is produced by plants.
Tom has good eyesight.,Tom found the poisonous snake in time.,Toxicology is the study of the effects of chemicals on the body.
Tom wants to know more about production.,Tom set out to go to the dense regions.,Industrialization is the process of going from one place to another.
The zoologist made an observation of the jaguar's habits.,He observed tracks on the ground where the jaguar had moved its all tour legs.,Jaguars have locomotion tracks.
Lucy has established a community to help those homeless children.,Many of her friends join in the warm-hearted family.,Homelessness is one of the most misunderstood aspects of the human condition.
The abuse of nuclear power is terrifying.,Scientists avoid great impact of atoms.,Explosions can have great impact.
Mr. Howard was going to hiking who had a big bag on his back.,"As he walked, he felt much heavier than before.",Hikes cause weight gain.
He observed the process from germination of seeds to eventually maturation of plants.,He obserevd the growth of the embryo inside the seed at first.,Sedimentation is the process of germination from seed to eventual maturation.
The financial crisis left many people homeless.,"After the financial crisis, the suicide rate increased significantly.",Suicide is a leading cause of death among young adults in the United States.
The two competitors became friends of reciprocity.,They often exchange their own privileges.,Reciprocity is the reciprocal act of mutual consent between two individuals.
Mary read some papers.,She knew lots of details.,Details relate to documents.
Sam wished to eat stew for supper.,Sam's wife went to buy some meat.,Meat comes from animals.
It's half way through autumn.,It rains more in half autumn than in spring and summer combined.,Foliage accumulates throughout the year.
The major planets interact.,There is gravity among the planets.,Gravity is a measure of the amount of mass in a system.
Tom has a civet.,The civet eats the fish quickly.,Civets eat fast food.
Alice likes the smell of milk.,She always eats cakes with a lot of cream.,Cakes contain milk.
Jack wanted to know why Quasars drown out the light from all the other stars in the same galaxy.,He looked it up and found out that it was because they were so bright.,Quasars are one of the most luminous galaxies in the universe.
Simon's mother often let Simon eat soys.,Simon grows healthy.,Beans contain nutrients.
A factory produces several tons of tissues from straws.,The quality of these tissues is different.,Straws provide quality.
Jack added nitrites into the water.,The catfish died earlier than the scalefish in the water.,Nitrites are toxic to scalefishes.
His action led to the movement of the wheels.,The machine was set in motion.,Motion causes movement.
Jack's interest is to study human species.,He decides to choose anthropology as his major in college.,Archaeology is a branch of anthropology.
Father of our religion combined a union of opposite tenets.,His action of syncretism was praised.,Synchroism is the union of two opposite aspects of the same faith.
Various features show that this is a dicot in the family Piperaceae.,Researchers suspected it is a peperomia.,Piperomia is one of the most common family members of dicots.
