,cause,effect,explanation,Cause:Effect,Cause+Truth:Effect,Cause:Truth+Effect,CEQ
0,The woman gave birth to a child.,The child brought psycho-physical phenomena on a new life.,Psycho-psychological phenomena are the physical phenomena brought on by the birth of a new human being.,0.03175075012759334,0.031552110003535715,0.04403344145902515,0.012282691331431811
1,Otters enter their new habitat.,Otters start looking for abalone for food.,Abalone is a member of the bioluminescence family of vertebrates.,0.0913148648845906,0.01828488134773986,0.06964516368663387,-0.021669701197956734
2,Lila loves classification of her things.,Lila can find what she wants quickly.,Classification is the process of searching for things to classify.,0.0015233173108813378,0.006070290427118327,0.004253153506810554,0.004546973116236989
3,She has been vaccined.,The chance she gets flu becomes smaller.,Vaccines reduce the chances of getting the disease.,8.526057764041347e-05,0.008544071819177676,0.00263348833617111,0.008458811241537263
4,The worker fremented some sugar cane with yeast.,He got some rum.,Rim is a type of sugar cane made from the sugar cane.,0.04585250519477891,0.07338370236830688,0.1259026815953392,0.08005017640056031
5,Grande opened the drawers.,He saw his old clothing.,Drawers have new designs.,0.006609273642106183,0.012837519919147939,0.014746805233078445,0.008137531590972262
6,He wants to travel the Sahara desert.,He will not withstand the dry climate there.,Deserts are rich in carbon-dioxide-rich gases such as sulphur dioxide.,0.016042909178707772,0.010838216103079465,0.011558479397101742,-0.00448442978160603
7,Black pulled out his eyelashes for beauty.,Black's sweat always drips into his eyes.,Lips have a thin layer of silvery-white fluid over the top of the eyelids.,0.009641437913437231,0.018165393680171782,0.01936287969876475,0.009721441785327519
8,There are many obstacles on the track.,Racing drivers will encounter common dangers from time to time.,Riders face many obstacles.,0.02216202554420888,0.031331008224158685,0.02373077429385146,0.009168982679949804
9,The bar wants to devise some tests.,The bar asks a businessman for help.,Businesses use tests.,0.0025151939619916103,0.002230103040306552,0.0030663818909923615,0.0005511879290007512
10,Lily has taken some sulfonamedes to make hemolysis.,The medicine didn't work.,Hemolysis is the process of making a mixture of the two substances.,0.015179068928793024,0.014273868553585334,0.014311267088842594,-0.00086780183995043
11,No energy is available for the dying plant anymore.,It cannot produce oxygen.,Oxygen is produced by the decomposition of carbon dioxide into hydrogen peroxide.,0.039099855527236556,0.11021439321441125,0.07739022646290784,0.07111453768717468
12,Tom has good eyesight.,Tom found the poisonous snake in time.,Poisonous snakes are very sensitive to light.,0.014996345651138167,0.0256687009504936,0.01463183255868588,0.010672355299355432
13,Tom wants to know more about production.,Tom set out to go to the dense regions.,Densities are dense regions of the earth's crust known as the mantle.,0.025637747898954184,0.03517464263415135,0.03491805016281425,0.009536894735197164
14,The zoologist made an observation of the jaguar's habits.,He observed tracks on the ground where the jaguar had moved its all tour legs.,Jaguars have a habit of moving their all-tour legs at the same time to avoid obstacles.,0.01717120180562402,0.03699084846682943,0.017921065876321248,0.01981964666120541
15,Lucy has established a community to help those homeless children.,Many of her friends join in the warm-hearted family.,Homelessness is one of the most misunderstood aspects of the human condition.,0.04076668795729034,0.021855105493007846,0.11623637139715419,0.07546968343986385
16,The abuse of nuclear power is terrifying.,Scientists avoid great impact of atoms.,Nuclear power has tremendous impact.,0.03112758013016776,0.039090491080865764,0.03738252012128837,0.007962910950698003
17,Mr. Howard was going to hiking who had a big bag on his back.,"As he walked, he felt much heavier than before.",Bags have a tendency to stretch over their entire length.,0.0114950938095706,0.008072703620833193,0.018690188373898305,0.007195094564327705
18,He observed the process from germination of seeds to eventually maturation of plants.,He obserevd the growth of the embryo inside the seed at first.,Germination is the process by which the embryo is inserted into the body of the mother's host plant.,0.07926678146475061,0.06810918234450952,0.06627729327010184,-0.011157599120241085
19,The financial crisis left many people homeless.,"After the financial crisis, the suicide rate increased significantly.",Suicide is a leading cause of death among young adults in the United States.,0.039131629382518074,0.06726563552817279,0.05118166375587318,0.028134006145654714
20,The two competitors became friends of reciprocity.,They often exchange their own privileges.,Reciprocity is the exchange of one's own advantage over another over a common disadvantage.,0.004258354784379709,0.004152474111504759,0.00938535467003322,0.005126999885653511
21,Mary read some papers.,She knew lots of details.,Documents provide details.,0.007992156226616101,0.008432684847456788,0.008610612130721297,0.0006184559041051956
22,Sam wished to eat stew for supper.,Sam's wife went to buy some meat.,Stew is made of meat.,0.059151886610841024,0.0536742864377789,0.05770012558157681,-0.001451761029264212
23,It's half way through autumn.,It rains more in half autumn than in spring and summer combined.,Summer is one of the driest months of the year.,0.04146087982278091,0.019936848503598854,0.038323003753488565,-0.0031378760692923474
24,The major planets interact.,There is gravity among the planets.,Gravity is a fundamental property of all the other bodies in our solar system.,0.07030964635759719,0.06691383484230111,0.08793997370308117,0.017630327345483976
25,Tom has a civet.,The civet eats the fish quickly.,Civets are omnivores.,0.005131274909774523,0.01700627012073674,0.004298392576098878,0.011874995210962217
26,Alice likes the smell of milk.,She always eats cakes with a lot of cream.,Cakes are made with cream cheese.,0.035715916177826476,0.05437230203854228,0.04728927927884649,0.018656385860715802
27,Jack wanted to know why Quasars drown out the light from all the other stars in the same galaxy.,He looked it up and found out that it was because they were so bright.,Quasars are one of the few stars in a star system whose light is lost to the universe.,0.024740312342378,0.032437574406042134,0.2175570095846769,0.1928166972422989
28,Simon's mother often let Simon eat soys.,Simon grows healthy.,Soy is a rich source of vitamin A in the body.,0.03543278427194688,0.029037971050582333,0.042027435216954845,0.006594650945007968
29,A factory produces several tons of tissues from straws.,The quality of these tissues is different.,Straws contain a variety of proteins.,0.0029675246904574534,0.008815687934493204,0.0034982767670605325,0.005848163244035751
30,Jack added nitrites into the water.,The catfish died earlier than the scalefish in the water.,Nitrites are used to kill a wide variety of marine animals.,0.015489272158712222,0.01595566229314393,0.02704853335654917,0.011559261197836946
