,cause,effect,explanation,Cause:Effect,Cause+Truth:Effect,Cause:Truth+Effect,CEQ
0,The woman gave birth to a child.,The child brought psycho-physical phenomena on a new life.,Psychosomatic phenomena are physical phenomena brought on by the birth of a new human being.,0.03175075012759334,0.032593798435574535,0.04808603091907752,0.016335280791484177
1,Otters enter their new habitat.,Otters start looking for abalone for food.,Abalone is one of the most abundant marine invertebrates on the planet.,0.0913148648845906,0.02917072152405347,0.12932809366685924,0.038013228782268635
2,Lila loves classification of her things.,Lila can find what she wants quickly.,Classification is the process of getting something from one class to another.,0.0015233173108813378,0.0009128878665603688,0.004897575083147411,0.0033742577722660734
3,She has been vaccined.,The chance she gets flu becomes smaller.,Vaccines reduce the chances of getting the disease.,8.526057764041347e-05,0.008544071819177676,0.00263348833617111,0.008458811241537263
4,The worker fremented some sugar cane with yeast.,He got some rum.,Rums contain sugar cane.,0.04585250519477891,0.07186858720719354,0.11160718010973221,0.06575467491495329
5,Grande opened the drawers.,He saw his old clothing.,Retailers have closets.,0.006609273642106183,0.004561552912062569,0.007867779681701936,0.0012585060395957533
6,He wants to travel the Sahara desert.,He will not withstand the dry climate there.,Deserts are temperate zones of temperate climates.,0.016042909178707772,0.018849066513921413,0.03105797559343284,0.015015066414725067
7,Black pulled out his eyelashes for beauty.,Black's sweat always drips into his eyes.,Eyelashes are the most sensitive of the eyelashes.,0.009641437913437231,0.011196162226453458,0.023350828508371196,0.013709390594933965
8,There are many obstacles on the track.,Racing drivers will encounter common dangers from time to time.,Traffic is one of the leading causes of death in the United States.,0.02216202554420888,0.028982835337991973,0.016009099171190373,0.006820809793783092
9,The bar wants to devise some tests.,The bar asks a businessman for help.,Businessmen provide assistance.,0.0025151939619916103,0.013450582355263396,0.0030935730307707953,0.010935388393271786
10,Lily has taken some sulfonamedes to make hemolysis.,The medicine didn't work.,Sulfonamides are toxic to the body.,0.015179068928793024,0.016475291723268205,0.016682578002490376,0.0015035090736973521
11,No energy is available for the dying plant anymore.,It cannot produce oxygen.,Oxygen is produced by plants.,0.039099855527236556,0.03610303213126224,0.049532246732312706,0.01043239120507615
12,Tom has good eyesight.,Tom found the poisonous snake in time.,Toxicology is the study of the effects of chemicals on the body.,0.014996345651138167,0.01619107115341672,0.008701638844348216,0.0011947255022785545
13,Tom wants to know more about production.,Tom set out to go to the dense regions.,Industrialization is the process of going from one place to another.,0.025637747898954184,0.01862974142704601,0.024139462864077085,-0.0014982850348770997
14,The zoologist made an observation of the jaguar's habits.,He observed tracks on the ground where the jaguar had moved its all tour legs.,Jaguars have locomotion tracks.,0.01717120180562402,0.018278466925204698,0.021712822768794784,0.004541620963170765
15,Lucy has established a community to help those homeless children.,Many of her friends join in the warm-hearted family.,Homelessness is one of the most misunderstood aspects of the human condition.,0.04076668795729034,0.021855105493007846,0.11623637139715419,0.07546968343986385
16,The abuse of nuclear power is terrifying.,Scientists avoid great impact of atoms.,Explosions can have great impact.,0.03112758013016776,0.03270939121042823,0.02926152922080161,0.0015818110802604674
17,Mr. Howard was going to hiking who had a big bag on his back.,"As he walked, he felt much heavier than before.",Hikes cause weight gain.,0.0114950938095706,0.010598741003153852,0.017152012686161407,0.005656918876590807
18,He observed the process from germination of seeds to eventually maturation of plants.,He obserevd the growth of the embryo inside the seed at first.,Sedimentation is the process of germination from seed to eventual maturation.,0.07926678146475061,0.11786431613752042,0.11357240697447153,0.038597534672769815
19,The financial crisis left many people homeless.,"After the financial crisis, the suicide rate increased significantly.",Suicide is a leading cause of death among young adults in the United States.,0.039131629382518074,0.06726563552817279,0.05118166375587318,0.028134006145654714
20,The two competitors became friends of reciprocity.,They often exchange their own privileges.,Reciprocity is the reciprocal act of mutual consent between two individuals.,0.004258354784379709,0.009423294717793991,0.0397917104470927,0.035533355662712984
21,Mary read some papers.,She knew lots of details.,Details relate to documents.,0.007992156226616101,0.007798700540021751,0.008477657981438909,0.0004855017548228077
22,Sam wished to eat stew for supper.,Sam's wife went to buy some meat.,Meat comes from animals.,0.059151886610841024,0.056145098863160124,0.09123154820754395,0.032079661596702926
23,It's half way through autumn.,It rains more in half autumn than in spring and summer combined.,Foliage accumulates throughout the year.,0.04146087982278091,0.018526787455037903,0.04524817966315782,0.003787299840376908
24,The major planets interact.,There is gravity among the planets.,Gravity is a measure of the amount of mass in a system.,0.07030964635759719,0.06816545752757057,0.07588876078170186,0.005579114424104664
25,Tom has a civet.,The civet eats the fish quickly.,Civets eat fast food.,0.005131274909774523,0.043865859637142145,0.007194295034911249,0.03873458472736762
26,Alice likes the smell of milk.,She always eats cakes with a lot of cream.,Cakes contain milk.,0.035715916177826476,0.03652743150772433,0.03574171278994221,0.0008115153298978509
27,Jack wanted to know why Quasars drown out the light from all the other stars in the same galaxy.,He looked it up and found out that it was because they were so bright.,Quasars are one of the most luminous galaxies in the universe.,0.024740312342378,0.02599190879764823,0.34510719029793924,0.32036687795556124
28,Simon's mother often let Simon eat soys.,Simon grows healthy.,Beans contain nutrients.,0.03543278427194688,0.03248443759618047,0.03674064799270926,0.0013078637207623867
29,A factory produces several tons of tissues from straws.,The quality of these tissues is different.,Straws provide quality.,0.0029675246904574534,0.006935696234696702,0.003173865277291797,0.003968171544239249
30,Jack added nitrites into the water.,The catfish died earlier than the scalefish in the water.,Nitrites are toxic to scalefishes.,0.015489272158712222,0.0072355408659149955,0.026875466806191694,0.011386194647479472
31,His action led to the movement of the wheels.,The machine was set in motion.,Motion causes movement.,0.028412480102118325,0.03227367158055399,0.04084148878579842,0.012429008683680097
32,Jack's interest is to study human species.,He decides to choose anthropology as his major in college.,Archaeology is a branch of anthropology.,0.046256054179629406,0.03850808495153607,0.047961728305411344,0.0017056741257819377
33,Father of our religion combined a union of opposite tenets.,His action of syncretism was praised.,Synchroism is the union of two opposite aspects of the same faith.,0.07006684983923298,0.05425381333204193,0.05223770255869526,-0.01581303650719105
34,Various features show that this is a dicot in the family Piperaceae.,Researchers suspected it is a peperomia.,Piperomia is one of the most common family members of dicots.,0.009017968940568739,0.014598375951390965,0.012024731227042607,0.005580407010822226
35,Tom has measured the magnetism of the material.,It is 15 gammas.,Magnetism is a measure of the magnetic properties of a material.,0.013036655634921927,0.01344248984119809,0.05006357079885673,0.037026915163934804
36,Tom studied the types of polypropylene.,He found that they came in two types.,Polypropylene is one of the most widely used plastics.,0.002967176661891814,0.004775650491107862,0.00807487167930309,0.005107695017411276
37,The source of the mud was investigated.,It was reported that the soil source was very rich.,Mud is rich in minerals.,0.027807040484179982,0.030683412990856772,0.02415296921364845,0.0028763725066767894
38,The student feel anxious to take the exam.,Her teacher gave her a warm smile.,Emotions cause smiles.,0.05162881643335977,0.04155507010115581,0.05675848780011121,0.005129671366751437
39,This charity donates money to Asian areas with famine.,Some people western india were helped.,Donations help cause famine in Asian countries.,0.03477747324294414,0.046562138943523054,0.09909728195633508,0.06431980871339094
40,The state began to crack down on competitive economic activities in an all-round way.,The state has launched a policy of collusion.,Collusion leads to unfair competition.,0.03882666483606296,0.03732068965360331,0.05075036978877576,0.011923704952712798
41,Tom improved his learning efficiency today.,He finished all his homework ahead of schedule.,Lessons contribute to learning efficiency.,0.025290376265732734,0.02304425118559133,0.04394595462949231,0.018655578363759574
42,Tom wants to eat watermelon.,Tom cut the rind of the watermelon.,Rind is one of the most tender plants on earth.,0.153960343378905,0.027401734308405725,0.1598669646042113,0.005906621225306302
43,Tom give the circuit voltage.,Tom has observed charge movement.,Charge is a measure of the amount of charge moved by an object.,0.024227973693144705,0.02732915668207161,0.029169014081180368,0.004941040388035663
44,This child caught roseola.,The child had a fever which followed by a rash.,Roseola can be fatal if it occurs in children.,0.04023143974166516,0.025746288581295077,0.04306754015435832,0.0028361004126931585
45,A species gradually adapted to its environment.,This phenomenon is called speciation.,Speciation is the gradual adaptation of a species to an environment.,0.015639407805369068,0.01032310245590287,0.03099227965135053,0.015352871845981463
